price,rating,refresh_rate,screen_size,ram,storage
1130.38,4.2,60,6.0,8,256
1590.65,5.0,60,6.4,6,1024
688.72,4.3,60,6.2,16,64
1806.71,4.5,120,5.2,16,64
673.28,5.0,60,7.2,4,256
1333.25,4.4,60,6.3,12,64
763.76,3.6,90,5.7,8,1024
298.99,4.4,144,6.4,6,1024
1785.19,4.4,120,6.1,16,1024
1235.11,4.0,165,5.8,4,1024
243.52,3.1,60,6.3,16,256
1044.28,3.2,165,5.3,8,256
979.45,3.4,144,7.1,16,128
1380.71,3.1,144,5.8,6,64
374.51,3.8,120,5.8,4,512
1494.81,3.0,60,5.3,6,1024
1884.59,3.3,165,6.7,4,128
760.09,3.9,144,7.1,16,64
971.53,3.8,120,6.0,4,64
1566.69,3.4,120,6.1,8,64
202.14,3.6,90,6.1,16,256
1000.59,3.7,165,5.4,8,64
433.94,3.1,144,5.1,6,512
301.95,3.5,90,6.1,8,256
1091.54,3.0,165,7.1,6,64
691.64,4.2,120,6.8,16,128
502.28,3.5,90,7.1,4,64
901.6,4.4,120,6.3,16,1024
534.11,4.5,90,6.0,6,128
1428.96,3.4,120,5.9,8,64
951.01,4.1,120,5.7,4,512
1746.24,4.8,144,6.7,6,64
537.59,4.7,90,6.3,12,512
1138.5,4.3,90,7.1,16,128
723.93,4.8,144,5.3,6,1024
1399.63,4.6,165,7.2,8,1024
506.62,3.1,120,5.6,6,512
1221.72,4.3,144,5.8,6,128
1932.23,3.7,60,5.1,12,256
450.99,4.4,90,5.5,12,64
1236.31,4.6,144,6.9,12,64
670.02,3.7,144,6.8,12,64
1918.77,4.1,165,6.6,8,1024
249.54,4.0,60,6.8,12,128
1273.55,4.2,120,5.1,4,1024
1034.98,4.0,60,7.4,12,1024
1555.0,3.6,165,7.1,6,512
1941.21,3.0,144,6.8,6,256
1437.85,4.9,165,6.9,6,128
1235.13,3.6,90,7.0,12,256
1335.3,4.3,120,6.2,16,128
1229.16,3.4,60,6.0,6,1024
979.11,4.8,144,7.1,8,64
226.01,4.4,144,5.8,8,512
1548.26,4.0,90,7.5,4,512
659.8,4.6,165,7.4,12,256
1030.14,3.5,120,6.6,12,256
1813.08,3.8,60,5.6,16,512
680.8,3.3,120,5.4,6,256
788.87,4.2,90,6.1,16,256
1897.83,3.2,144,5.1,4,512
1340.93,4.3,165,5.9,6,512
1864.83,4.5,144,6.0,6,128
1634.5,4.5,144,7.2,12,128
1509.89,3.9,120,5.1,12,512
1263.64,4.8,60,6.9,4,512
628.32,3.2,165,6.1,8,512
1076.49,4.6,144,7.1,16,1024
569.35,4.7,165,6.1,8,128
1115.1,3.8,90,6.2,12,512
1415.18,3.5,90,5.6,16,64
1009.62,3.8,120,7.0,8,256
1649.94,4.1,90,6.7,16,64
1241.45,3.0,90,6.7,4,256
769.28,4.4,144,7.0,16,256
975.68,3.6,90,6.9,6,1024
342.94,4.5,144,6.0,8,512
918.96,4.8,60,7.1,4,128
1394.84,4.9,60,6.1,8,64
1811.13,4.4,60,5.6,6,64
1823.98,4.5,120,5.2,6,1024
1747.67,3.9,165,5.2,16,64
1742.83,4.0,165,5.8,4,128
1413.7,4.3,165,7.3,16,1024
1727.13,3.9,120,7.3,6,1024
1619.99,3.0,144,5.3,16,512
1078.4,4.9,60,5.8,4,64
668.57,3.7,165,5.2,4,64
560.87,4.2,144,5.7,16,512
639.41,3.4,165,7.0,16,128
1319.91,3.3,60,7.4,12,512
1593.93,4.6,144,6.7,8,1024
510.87,3.2,120,5.2,6,256
1169.34,4.9,60,6.9,16,256
1233.69,4.8,144,5.6,6,128
973.77,3.5,60,7.5,16,256
1779.82,3.8,60,6.7,6,1024
1585.23,3.9,90,6.1,8,1024
1681.54,3.4,90,7.4,8,256
852.32,3.9,144,5.5,4,256
1920.15,3.1,60,6.9,8,256
228.39,4.9,165,6.3,8,256
1162.26,3.5,60,7.0,12,64
654.86,3.2,120,5.4,6,256
445.81,4.8,120,6.1,4,128
1335.99,3.2,144,7.1,12,64
414.7,3.6,144,5.7,16,64
1266.92,3.7,90,5.1,8,256
1895.0,3.2,120,5.6,12,1024
1343.11,3.9,60,6.7,6,64
383.33,3.4,60,5.3,16,128
1042.22,4.3,60,6.2,4,128
1353.12,4.8,165,7.4,6,128
312.55,3.8,165,5.1,6,64
591.36,4.9,120,6.1,16,512
401.09,3.8,60,5.4,4,256
374.7,3.7,144,6.8,4,64
1249.3,4.5,144,7.1,12,512
1549.29,3.9,144,5.0,6,64
627.72,3.6,165,7.2,12,1024
395.89,4.3,90,7.4,6,512
1309.44,3.2,60,6.9,4,1024
1409.02,3.6,120,6.6,16,256
559.32,4.5,90,7.0,8,512
1221.12,4.0,165,5.4,4,1024
1476.01,3.5,165,5.1,6,512
1350.47,4.7,144,5.3,4,64
867.39,3.5,60,5.4,6,128
530.42,4.6,90,6.7,8,128
1992.72,3.9,165,6.7,12,512
1781.66,4.1,120,6.3,12,128
406.51,3.1,165,6.8,4,128
1843.01,4.2,90,7.3,16,64
190.18,4.9,165,7.2,8,256
1192.65,4.8,165,6.5,16,1024
538.57,4.6,60,5.3,6,128
1081.13,4.7,120,6.9,12,512
413.1,3.5,60,6.1,12,1024
1008.07,3.9,144,5.6,6,128
1284.75,4.8,165,6.0,16,128
1455.18,4.1,120,6.4,4,64
1272.34,4.0,165,6.9,12,1024
283.37,3.1,165,5.1,16,512
1409.47,3.9,165,6.9,12,256
1596.56,4.2,90,7.0,8,256
1359.17,3.6,60,5.0,6,64
1803.74,3.7,120,5.9,4,1024
735.79,4.1,120,5.0,16,1024
704.08,4.7,120,5.0,16,128
1830.26,5.0,165,6.7,6,256
752.72,4.5,144,5.5,4,256
567.06,5.0,120,5.4,6,64
667.3,3.9,90,6.8,12,256
1791.22,3.0,144,7.4,16,512
1726.48,3.2,165,7.3,6,512
1938.62,4.5,165,5.4,4,128
1747.77,3.8,120,5.2,6,512
1242.47,4.0,90,7.5,16,512
640.68,3.8,90,5.3,6,512
1479.52,3.2,144,6.7,12,1024
1112.81,3.2,90,6.5,4,128
1628.8,4.3,144,5.4,6,256
671.57,3.0,90,7.0,16,128
1198.51,4.8,165,7.4,4,1024
1745.97,4.1,90,6.2,4,1024
1788.6,3.5,144,6.1,4,1024
1947.18,3.2,60,6.9,6,512
1424.09,3.1,144,5.5,16,1024
1885.34,4.0,90,7.3,4,128
1483.92,4.9,120,7.3,4,128
1044.95,4.0,60,7.4,4,1024
1083.26,3.2,165,7.1,12,1024
1351.85,3.4,144,6.4,12,512
258.55,3.1,90,7.4,8,512
440.49,3.7,120,6.8,16,64
1605.08,4.6,120,5.4,16,256
1502.99,3.3,60,6.1,16,64
1297.75,4.9,90,7.3,8,512
1902.71,5.0,165,5.1,8,64
1950.48,4.1,90,6.0,12,512
404.48,4.1,120,6.6,8,512
1988.74,3.5,165,6.8,16,64
1815.96,3.5,120,6.5,4,64
710.75,3.2,90,6.8,12,128
1468.25,3.1,90,6.7,6,256
609.15,4.9,60,5.3,16,512
753.04,4.4,90,6.0,16,512
353.18,3.5,165,5.8,6,128
1023.53,4.4,165,5.1,6,256
1615.61,4.6,144,7.2,4,64
1320.22,3.5,165,6.7,8,1024
1911.76,4.8,120,7.2,4,256
1268.4,3.2,165,5.3,6,256
1283.45,3.1,120,6.0,12,1024
803.49,3.3,60,7.3,8,512
519.41,3.5,90,6.9,12,64
1889.04,3.2,120,5.5,4,64
184.75,3.7,90,5.8,16,64
1272.76,4.1,144,7.4,16,64
1296.86,3.3,165,7.1,4,1024
937.0,3.9,144,5.8,6,256
770.55,4.2,90,5.4,16,128
1011.31,3.7,144,5.3,12,512
378.65,3.1,120,7.3,8,128
1137.1,3.5,60,6.0,6,1024
1399.13,4.7,90,5.5,4,256
1021.12,3.6,90,6.0,16,256
746.37,3.1,90,6.0,16,1024
1589.47,5.0,60,6.2,4,256
1935.61,3.3,144,6.8,12,64
1198.3,3.0,165,7.5,8,64
402.64,3.7,60,5.9,8,64
1941.39,4.5,120,7.1,6,64
1431.02,3.2,60,7.4,12,128
810.49,3.4,120,5.9,16,128
1140.69,4.0,60,6.4,8,1024
970.49,4.8,144,5.5,8,512
857.38,4.2,120,6.9,4,64
322.9,3.4,144,5.1,12,256
1725.1,3.9,165,6.1,8,128
801.28,3.2,165,7.0,8,256
1450.33,5.0,90,5.9,16,128
287.56,3.1,90,5.3,16,512
181.13,3.1,165,6.9,6,128
176.78,4.5,90,6.5,12,128
543.56,3.6,144,6.4,6,128
577.71,4.7,120,5.3,4,256
517.33,3.6,144,5.1,6,512
779.91,3.5,90,6.4,4,1024
331.8,4.8,60,5.4,4,64
1189.53,3.2,144,5.7,16,1024
1917.96,3.6,120,6.6,8,128
650.78,4.2,165,6.9,4,512
1931.39,4.6,165,6.8,6,128
702.06,3.6,144,7.0,8,64
788.15,4.5,165,5.5,12,1024
356.29,4.6,90,7.4,16,1024
165.46,3.3,90,5.1,8,512
632.89,3.0,144,5.6,16,512
401.39,4.4,165,5.9,8,1024
577.49,3.1,120,5.2,12,256
1793.14,4.8,90,5.6,12,256
1335.12,3.3,144,6.1,12,256
845.83,4.8,90,6.6,4,512
1136.31,4.3,165,5.5,12,256
809.11,3.7,90,6.5,4,256
852.46,3.6,144,5.1,6,1024
456.03,3.9,90,6.7,16,64
828.8,4.9,120,5.3,16,512
846.35,4.4,90,7.0,4,64
1363.82,4.3,90,5.9,8,512
904.86,3.5,144,7.2,16,128
335.46,3.6,120,6.4,4,256
201.04,4.0,120,5.9,12,512
710.95,3.8,144,6.1,12,64
700.18,4.4,60,7.2,8,1024
1483.68,3.7,165,6.3,8,512
434.11,4.2,165,7.2,12,1024
401.91,3.9,90,6.9,16,512
1458.13,3.2,90,6.6,16,128
1036.08,4.5,120,6.9,6,128
1514.24,4.2,165,6.8,16,256
977.0,3.4,120,7.4,12,1024
286.12,3.7,165,6.5,4,64
551.96,4.6,144,7.5,6,256
1002.6,4.4,90,5.3,8,1024
792.07,4.7,90,6.4,6,1024
1823.49,4.5,60,6.0,16,128
1455.83,4.5,144,6.4,6,64
1411.81,4.6,144,5.6,16,64
1737.2,3.4,144,7.1,6,64
1419.98,4.2,165,5.2,6,1024
1661.09,3.6,144,5.2,6,512
1141.69,4.5,60,5.4,6,512
217.64,3.6,120,5.5,12,128
1238.29,4.6,90,5.1,16,64
1099.54,3.9,165,5.9,16,64
1959.39,4.0,90,6.8,12,1024
701.99,3.3,165,7.0,16,1024
550.91,3.7,60,5.3,16,256
1795.41,3.0,60,6.5,8,1024
1408.0,3.7,144,7.0,12,256
1152.15,4.4,60,6.6,6,512
644.62,4.6,144,7.1,6,1024
607.24,4.2,165,6.3,16,64
1646.37,3.5,90,6.8,16,64
1646.6,3.0,120,5.4,8,128
1614.63,3.4,144,6.4,6,512
679.77,3.6,144,6.0,16,1024
1028.43,4.8,60,5.8,4,128
263.73,4.6,120,5.5,4,64
1455.6,4.9,120,5.2,16,64
347.52,4.7,165,6.4,16,256
1233.87,4.0,120,7.0,6,64
1586.71,4.6,60,5.6,6,64
1614.06,4.6,165,7.4,16,1024
1399.56,3.7,60,5.2,8,64
1709.87,3.9,120,5.6,8,128
745.4,3.8,144,6.0,6,256
1757.81,4.5,60,5.4,8,256
1307.69,4.6,90,7.1,16,64
1627.5,4.9,120,5.9,6,256
836.2,4.9,120,6.8,16,512
1067.38,4.3,165,6.3,8,128
371.08,4.3,165,6.5,8,512
354.89,3.5,144,5.1,16,128
1802.47,3.4,90,6.7,8,512
238.34,4.5,165,7.0,16,1024
1109.04,3.8,144,5.0,12,512
151.96,3.0,90,5.5,8,512
1229.73,4.8,144,5.5,12,1024
1000.88,3.5,144,6.1,4,512
629.24,5.0,165,5.2,6,128
1169.31,4.9,165,5.9,8,128
1119.47,4.3,90,6.8,6,512
1674.29,3.6,144,7.1,6,512
1087.2,3.7,120,5.5,16,512
1371.37,4.4,144,7.0,16,1024
493.12,3.8,165,6.8,16,256
1357.0,5.0,144,7.1,16,128
1909.94,5.0,165,6.1,16,512
1257.18,4.7,144,5.1,8,128
804.06,4.8,144,6.8,16,512
1203.55,3.6,144,6.4,6,1024
1768.79,3.2,120,6.9,6,128
635.0,4.1,120,7.2,6,128
1513.82,3.4,60,5.7,12,64
1849.02,4.0,90,5.9,16,64
243.96,4.9,90,5.2,8,64
647.22,3.1,144,5.2,16,64
234.56,4.6,165,7.3,6,64
464.29,3.9,120,5.9,16,128
491.84,4.9,60,5.6,8,256
481.72,3.5,90,6.9,8,512
290.59,3.5,144,7.2,8,64
1733.22,3.8,60,6.4,8,256
1146.99,4.5,90,6.9,12,512
1580.31,4.7,165,6.1,6,64
1131.23,3.1,60,5.3,16,1024
1072.89,4.1,90,5.7,8,512
296.48,3.1,120,5.9,4,512
1748.75,3.1,165,5.7,12,64
716.83,3.8,120,6.6,8,1024
503.31,3.2,120,6.7,12,64
745.83,3.2,60,6.8,12,128
1175.08,3.6,120,5.7,4,128
365.43,3.0,165,5.8,4,512
892.17,3.6,90,5.9,4,1024
232.99,4.1,165,5.4,4,512
1977.02,3.5,120,7.3,16,512
1681.35,3.8,60,5.8,4,128
559.13,3.1,144,7.4,6,1024
1421.86,4.6,120,5.9,4,128
1077.67,3.9,120,5.2,4,256
1555.13,3.3,60,6.5,4,64
379.61,4.2,165,6.5,12,64
1337.47,4.2,60,5.8,4,64
1970.26,4.3,120,6.1,12,1024
920.67,3.3,60,6.2,6,64
1797.42,3.2,120,6.9,12,512
704.93,3.6,120,5.8,16,256
381.5,3.7,60,5.8,8,64
1384.21,4.6,165,5.5,6,512
1508.64,3.9,60,5.2,8,512
215.72,3.6,144,5.0,12,64
1590.19,4.1,120,6.2,12,512
1472.9,4.4,60,7.3,4,1024
1057.01,3.7,90,5.0,12,64
458.55,3.6,144,6.4,8,512
405.08,4.6,90,6.4,6,64
267.05,4.3,90,5.2,12,512
1535.82,4.4,60,6.6,16,64
960.77,4.9,90,7.1,16,64
1817.73,5.0,120,5.6,8,1024
1108.39,3.2,60,7.1,4,1024
1300.07,3.0,144,5.5,4,256
1709.1,3.5,90,7.0,12,64
508.12,4.8,90,7.0,8,64
1221.74,4.3,120,6.3,6,512
298.48,4.9,165,6.5,16,256
244.54,3.5,165,6.3,6,256
901.42,4.4,144,6.6,16,1024
1236.64,3.1,144,5.9,16,512
1184.89,4.6,144,6.1,4,128
388.91,4.1,90,6.2,8,128
402.46,3.3,144,6.1,16,128
730.72,3.0,60,6.3,6,512
1619.29,3.5,165,7.0,12,64
1833.07,3.4,90,7.4,6,1024
285.72,3.4,120,5.8,8,64
1323.57,4.1,60,6.0,8,64
819.39,5.0,144,5.2,4,64
1173.94,4.8,60,6.9,16,64
1309.95,3.3,144,7.1,16,64
953.18,5.0,144,6.6,16,512
440.11,3.8,90,7.2,12,64
1682.7,5.0,165,6.3,6,512
1046.15,4.5,60,7.1,4,512
392.67,4.3,120,5.8,4,64
664.9,3.7,60,5.4,4,256
1965.74,4.4,60,6.8,8,128
496.51,4.4,120,5.1,4,256
1874.75,4.5,144,5.4,6,512
389.26,3.2,60,5.4,12,128
1961.13,3.5,120,6.7,6,256
1721.88,4.3,144,5.1,8,256
656.91,3.2,60,7.2,6,512
1513.9,4.7,90,5.8,6,256
1127.82,4.8,60,6.9,16,512
849.58,4.8,165,5.3,12,512
900.68,5.0,60,6.6,6,128
1072.0,5.0,165,7.5,8,256
1302.97,3.2,120,6.2,4,512
1064.33,3.6,165,5.4,8,1024
1034.38,4.8,120,5.9,16,64
1018.64,3.2,144,5.3,6,512
1161.03,3.1,120,5.6,8,256
312.82,4.9,144,5.4,16,64
1655.2,4.8,144,5.7,6,64
1597.34,3.9,90,6.7,8,256
265.64,3.5,144,7.3,16,1024
841.27,4.1,144,7.4,16,128
1912.58,4.9,60,5.2,6,256
1731.46,4.5,120,6.0,8,256
1405.64,4.1,60,6.7,4,256
475.78,3.8,90,6.9,6,128
1595.13,4.2,144,7.3,8,1024
1011.01,3.6,144,5.2,8,64
1674.24,3.4,165,7.3,12,128
1048.72,4.4,144,7.3,16,64
485.67,4.7,165,6.9,8,1024
1400.23,3.7,120,6.2,12,1024
1010.31,3.5,60,5.3,16,128
584.04,3.8,165,6.4,8,1024
1364.71,4.1,120,7.3,12,128
1325.69,4.5,120,7.2,8,1024
1293.78,4.0,90,6.0,8,64
1165.19,3.3,60,5.5,16,64
1968.58,4.9,120,6.9,4,512
447.03,3.4,60,6.3,6,64
1601.43,4.8,120,5.9,4,512
815.38,4.0,165,6.8,6,64
1603.62,5.0,60,5.3,6,256
388.3,4.1,120,6.5,8,64
1062.5,3.0,60,5.9,4,256
844.82,3.2,90,6.6,12,128
1779.05,4.7,90,6.0,6,256
739.52,4.3,165,7.4,16,64
1845.14,3.3,90,5.1,6,1024
618.37,4.4,90,5.3,16,256
1443.26,4.0,144,6.2,12,128
1403.34,3.5,60,6.9,8,64
1256.17,5.0,120,6.4,16,256
1866.75,4.5,90,5.5,12,128
875.75,4.8,120,5.3,8,128
929.26,4.4,60,6.6,16,1024
415.47,3.0,120,5.6,6,256
1496.29,4.8,165,5.6,4,1024
1933.26,3.8,144,5.3,6,128
1927.77,4.2,165,5.8,8,64
494.79,4.9,90,7.4,4,1024
714.99,4.3,144,6.3,12,1024
424.18,4.7,165,5.6,8,256
1867.75,4.5,144,5.4,12,64
914.78,4.2,120,7.3,8,512
877.32,3.6,120,6.1,4,1024
1323.01,4.3,144,6.1,16,256
1422.89,4.8,90,5.3,12,64
995.04,4.7,165,5.6,8,64
1785.28,4.4,60,7.1,6,512
1913.92,4.0,144,6.4,16,64
1526.54,3.2,90,6.9,4,512
459.1,3.3,165,7.5,4,512
1110.61,3.5,165,5.1,16,512
1303.22,4.0,60,6.5,6,1024
1237.78,4.2,165,5.7,16,64
1206.64,4.0,144,5.1,12,1024
1451.89,4.1,60,6.6,12,128
578.41,3.4,90,6.5,6,256
1297.1,3.8,60,7.3,6,128
1065.46,5.0,60,6.6,6,128
1605.29,4.5,90,6.7,8,128
1350.41,4.3,60,5.6,6,64
1277.26,4.6,90,6.9,12,256
1514.37,3.6,144,5.1,4,128
402.77,4.0,90,6.8,6,128
1263.14,3.3,144,5.9,4,128
1774.12,4.9,90,5.9,6,128
1689.52,4.2,90,7.5,12,64
325.96,4.5,90,5.8,4,1024
433.4,3.4,120,7.2,4,1024
1849.93,5.0,165,7.1,4,256
893.26,3.7,144,5.3,6,64
1406.19,3.1,120,6.9,4,512
953.49,4.8,60,7.2,4,512
1770.39,4.2,120,5.5,4,256
174.57,4.3,144,5.0,16,256
1036.18,4.2,165,6.8,8,256
1390.15,4.3,165,6.2,12,128
1732.43,3.4,120,6.0,12,1024
344.33,3.9,165,7.1,16,128
1936.79,3.8,120,5.6,8,64
1060.91,4.0,144,6.0,12,128
953.06,4.4,60,6.3,8,64
545.11,4.2,165,7.4,6,64
1039.9,4.8,120,5.0,4,512
597.18,4.5,90,6.5,6,256
1190.16,3.7,90,6.9,8,512
708.73,5.0,90,5.6,16,128
1738.2,4.4,60,6.6,6,512
1622.98,4.3,144,6.2,4,128
829.54,3.7,144,5.7,16,64
1436.38,3.0,90,6.0,16,256
1763.02,3.5,120,6.6,12,128
1725.87,4.4,60,5.4,8,512
589.62,3.9,90,6.3,12,512
1901.51,3.6,144,6.8,8,128
1316.52,3.1,60,6.3,16,256
504.23,3.3,144,6.1,4,1024
1636.62,3.7,165,7.2,6,512
1957.53,4.7,90,5.9,6,256
952.37,3.3,60,6.7,4,512
1810.26,4.9,120,7.1,8,64
1872.41,3.5,144,6.9,12,64
734.27,4.2,60,6.1,4,64
188.03,4.1,165,7.4,12,1024
1982.39,3.0,90,6.3,8,64
920.8,3.8,165,5.1,16,1024
1503.66,3.8,90,5.4,6,1024
762.57,3.6,120,5.1,12,1024
1732.97,4.4,165,6.7,4,64
336.37,4.9,144,5.6,4,512
809.81,3.1,165,7.0,4,1024
926.6,3.5,120,6.4,8,64
766.31,4.7,60,5.1,4,1024
1713.94,4.0,90,5.2,12,512
1192.5,4.6,120,5.3,12,512
1534.03,4.5,60,5.3,4,512
1939.85,4.5,165,5.2,16,512
871.19,3.3,90,5.8,4,64
1391.89,4.6,120,7.0,16,1024
1258.39,4.7,90,6.0,8,512
1695.56,3.4,144,7.3,12,512
1507.87,4.0,120,5.2,12,128
1103.67,4.1,165,5.5,6,64
